timestamp,episode_tag,task,model_ref,model_revision,device,hz,elapsed_s,live,clamp_profile,n_steps,clamp_bit_rate,score,note
20260724_165830,trial_1,Pick up the red block,lerobot/smolvla_base,,mps,10.0,13.089,True,policy,110,1.0,0,At first it was moving towards object but then it opened wide claws and was rugging around the table
20260724_170237,trial_2,Pick up the red block,lerobot/smolvla_base,,mps,10.0,14.405,True,policy,63,0.984,0,Total bullshit
20260816_171002,ft_A1,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.006,True,recorded,999,0.186,4,perfect even when not on the black dot
20260816_171618,ft_A1,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.014,True,recorded,967,0.002,0,it was 7-8cm far from the object althopugh moved toward but still
20260816_171901,ft_A1,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.032,True,recorded,998,0.0,2,
20260816_172317,ft_A1,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.007,True,recorded,986,0.015,3,grasped it in a diff way but then it dropped
20260816_174447,ft_A2,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,22.915,True,recorded,485,0.0,2,left most dot and the gripper touched from top and the object got deflected and hence it startede trying to grasp here and there
20260816_174710,ft_A3,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,32.038,True,recorded,700,0.229,4,left side upper dot and perfectly grabbed and placed
20260816_175242,ft_A4,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,31.03,True,recorded,682,0.0,3,left side centre and it grabbed it properly but dropped while carrying and then it was not able to regrap
20260816_175438,ft_A5,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,19.865,True,recorded,420,0.0,2,"left side bottom , tried to grasp it but failed as object got deflected"
20260816_175616,ft_A6,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,19.704,True,recorded,404,0.0,2,centre top side again properly placed but object got deflected as object is circular so amybe that might be a reason
20260816_175759,ft_A7,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,20.754,True,recorded,446,0.0,3,centre mid point and it almost grabbed but again object got deflected
20260816_175942,ft_A8,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,17.414,True,recorded,371,0.0,2,centre bottom point and touched the object from top but the gripper was not able to grab it maybe it needs a more closer look camera
20260816_180142,ft_A9,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,23.02,True,recorded,500,0.0,1,right top point and it was nearly 2-3 cm far from object trying to grasp
